ID,Source,Syllabary,Transliteration,English,Story,Chapter,Line,Author,Speaker,,,,,,,,,,,,,
22,ced,ᎠᏓᏰᏍᎩ ᎤᏢᎬ ᎠᏥᏅᏩᏅᎢ.,Adahyesgi udlvgv ajinvwanvi.,He was cured of his cancer.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
23,ced,"ᏥᏯᏓᏱᎭ, ᏝᎮᏃ ᏱᏥᏲᎵᎦ.","Jiyadayiha, hlahehno yijiyoliga.",I am denying him because I don't know him.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
24,ced,"ᎤᏃᏍᎩᏒ ᎠᎫᎢᏍᏔᎾ, ᎤᏓᏱᎸᎢ.","Unosgisv aguistana, udahyilvi.","When he was accused of stealing, he denied it.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
25,ced,ᏣᏁᎵᏁ ᏗᎧᏃᏩᏛᏍᏗ ᏞᏍᏗ ᏣᏓᏲᏁᎸᎢ ᎠᏗᎭ.,Chaneline dikanowadvsdi hlesdi jadahyonelvi adiha.,"The eighth commandment says, Thou shalt not commit adultery.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
26,ced,ᎦᎸᏉᏗ ᎪᏪᎵ ᎠᏍᎦᎦ ᎠᏓᏲᏁᏗ.,Galvkwdi gohweli asgaga adahyonehdi.,The Bible reproves adultery.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
27,ced,ᏣᏂ ᎣᏍᏓ ᎧᏃᎮᏛ ᏣᏁᎵᏁ ᎠᏯᏙᏢ ᎠᏥᏁᎢᏍᏗ ᎠᏓᏲᏁᎯ ᎠᎨᏯ.,Jani osda kanohedv chaneline ayatohlv ajineisdi adahyonehi agehya.,An adulteress is mentioned in chapter eight of the book of John.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
28,ced,ᎤᏪᏘ ᎠᎿᏬ ᎠᎯᏓ ᎨᏐ ᎤᏓᏣᎦᎵᏗ.,Uweti ahnawo ahida geso udajagahldi.,An old cloth is easy to rip.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
29,ced,ᎪᎱᏍᏓ ᎤᏍᏗ ᏥᎪᏯ ᎠᏓᏨᎢᏍᎩ ᎤᏩᏨᏴ ᎤᏬᏰᏂ.,gohusd usdi tsgoya adajvysgi uwajvhyv uwoyeni.,Some kind of a stinging bug stung him on his hand.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
30,ced,Ꮲ ᎤᏪᏅᏍᏗ ᏯᏛᏅᎢᏍᏗ ᎠᏓᎨᏍᎪᎢ.,Dlv uwenvsdi yadvnvisdi adakesgoi.,"When he's getting ready to go somewhere, he uses a mirror.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
31,ced,ᎤᏔᎾ ᎠᏓᎨᏗ ᏄᏩᏅᏗ ᏗᏎᎯᏍᏗᎢ.,Utana adakehdi nuwanhdi disehisdii.,She has a big mirror on the dresser.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
32,ced,ᎤᎾᎳᏍᎦᎵᏗ ᏳᏟᎢᎶᏝ ᎠᏓᎴᏂᏍᎪ ᎠᎾᎳᏍᎦᎵᏍᎬᎢ.,Unalasgahldi yuhliilohla adalenisgo analasgalisgvi.,"When it's time for them to play ball, the ball game begins.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
33,ced,ᏥᏈᏍᏗ ᎤᏓᎾᏁᏒᎲᏍᏗ ᎤᏚᎵ ᎠᏎᏅ ᏥᏈᏍᏗ ᏓᎬᏩᎶᏗᏓᎾ.,Tsgwisdi udananesvhvsdi uduli asehnv tsgwisdi dagvwahldidana.,"She wants to do a lot of shopping, but the prices are too high.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
34,ced,ᎠᏓᎾᏅ ᏓᎩᎸᏫᏍᏓᏁᎰ ᎪᎩ ᏱᏄᎵᏍᏔᎾ.,Adananv dagilvhwisdaneho gogi yinulstana.,I work in a store in the summer.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
35,ced,"ᎩᏟ ᏓᏑᏫᏍᎬ ᎤᏛᎦᎾ, ᎤᏓᎾᏩᏍᏔᏅᎢ.","Gihli dasuhwisgv utvgana, udanawstanvi.","When he heard the dog bark, he ran.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
36,ced,ᎩᎦᎨ ᎠᏨᏍᏛ ᎠᏓᏁᏟᏴᎾ.,Gigage ajvstv adanedliyvna.,The red light just changed.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
37,ced,"ᏚᏯᏪᏣ ᎠᏴᎩ ᎠᎦᏘᏴ, ᎠᎾᎵᎢ ᎤᏓᏁᏟᏴᏍᏔᏅᎢ.","Duyaweja ahyvki aktiyv, analii udanedliyvstanvi.","When he got tired of guarding the prisoner, his friend took his place.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
38,ced,ᎠᎾᏓᏁᏟᏴᏍᏗᏍᎩ ᏓᎾᏘᏁᎰ ᎠᎾᎳᏍᎦᎵᏍᎩ.,Anadanedliyvsdisgi danhtihneho analasgalisgi.,The ball players always have substitutes.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
39,ced,ᎠᎵᏍᏓᏴᏗ ᎠᏓᏁᏢ ᏚᏁᎸ ᏧᏂᏲᏏᏍᎩ.,Alsdayhdi adanehlv duhnelv juniyosisgi.,He gave a supply of food to the hungry.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
40,ced,ᎤᏃᎴ ᎤᏲᏍᏔᏃᏅ ᎠᏓᏁᎸᎢ.,Unole uyostanohnv adanelvi.,A tornado destroyed a building.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
41,ced,"ᎠᏓᏅᏙ ᏳᎴᏫᏍᏔᎾ, ᎠᏲᎱᏍᎪ ᏴᏫ.","Adanhdo yulehwistana, ayohusgo yvwi.","When the heart stops, a person dies.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
42,ced,ᎦᏙ ᎤᏍᏗ ᎭᏓᏅᏖᎭ?,Gado usdi hadanhteha?,What are you thinking about?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
43,ced,ᎪᏍᏗᏊ ᎢᏣᏓᏅᏖᏗ ᎢᏨᏁᎭ.,Gosdigwu ijadanhtehdi ijvneha.,I'm just giving you something to think about.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
44,ced,ᎪᏍᏗ ᏥᏃᎯᏎᎸ ᎠᏓᏅᏖᎯᎶᎠ.,Gosdi jinohiselv adanhtehiloa.,He's considering something I told him.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
45,ced,ᏙᏯ ᎾᎥ ᏱᎦᎷᏤᎳ ᎤᏓᏃᏴᏟᏍᏗᏍᎪᎢ.,Doya nav yigaluchela udanohyvhlisdisgoi.,"When you get close to a beaver, it makes noise.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
46,ced,ᎤᏔᎾ ᎢᎾᏓ ᎠᏓᎾᏏᏂ.,Utana inada adansini.,A big snake is crawling.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
47,ced,ᎠᎦᎷᎦ ᎤᏩᏂᎳ ᏡᎬᎢ ᎤᏓᏄᏖᏲᎸᎢ.,Agaluga uwahnila hlgvi udanuteyolvi.,"When the twister hit the tree, it twisted.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
48,ced,"ᏍᎪᎯ ᏧᏕᏘᏴᏓ ᎤᏁᎳᏛᎢ ᏓᎵᏆ, ᎩᎳ ᎤᏚᎸᎲ ᎤᏓᏅᏍᏗᎢ.","Sgohi judetiyvda uneladvi Daligwa, kila udulvhv udanvsdii.","He lived in Tahlequah for ten years, the he wanted to move.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
49,ced,ᏑᏕᏘᏴᏓ ᎢᏳᏓᎵ ᎢᏤ ᏓᏆᎴᎳ ᎠᏓᏅᏍᎪᎢ.,Sudetiyvda iyudali ije dagwalela adanvsgoi.,He orders a new car every year.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
50,ced,ᎠᏓᏍᏓᏴᏗ ᎠᏯᎠ ᏗᏖᎵᏙ ᏕᎬᏗᏰᎠ.,Adasdayhdi ayaa ditelido degvdiyea.,She's in the kitchen washing dishes.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
51,ced,"Ꮭ ᎠᏎ ᏣᏓᏍᏓᏴᏗ ᏱᎩ, ᏝᎮᏃ ᏯᎩᎪᏏᎭ.","Hla ase jadasdayhdi yigi, hlaheno yagigosiha.","You don't have to cook, because I'm not hungry.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
52,ced,ᏙᏳ ᎠᏂᏓᏪᎯ ᎨᏐ ᎢᎦᏓ ᎠᏂᏣᎳᎩ.,Doyu anidawehi geso igada Anijalagi.,Some Cherokees are very magical.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
53,ced,ᎢᎦᏓ ᎠᏂᏣᎳᎩ ᎤᏂᎸᏉᏗ ᎠᏂᏓᏪᎯ ᏧᏂᏃᎮᏗᎢ.,Igada Anijalagi unilvkwdi anidawehi junihnohehdiɁi.,Some Cherokees like to talk about magicians.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
54,ced,ᎠᏥᎳ ᎪᏢᏗ ᎠᏓᏪᎳᎩᎠ.,Ajila gohlvhdi adawelagia.,The match is burning.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
55,ced,ᎠᏓᏪᎳᎩᏍᎩ ᎤᏃᏢᏗ ᏧᎸᏫᏍᏓᏁᎸ ᎡᏙᏓ.,Adawelagisgi unohlvhdi julvhwisdanelv edoda.,My dad has worked at a place where they make gunpowder.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
56,ced,ᎠᏓᏪᎳᎩᏍᎩ ᏚᎴᏴᏔᏅ ᎦᏐᎯᎢ.,Adawelagisgi duleyhtanv gasohii.,The flame burned his back.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
57,ced,ᎭᏓᏪᏐᎸᏍᏓ. ᏙᏔᏍᏔᏰᏎᎦ.,Hadawesolvsda. Dotastayesega.,Rest. You'll get exhausted.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
58,ced,ᎠᏓᏫ ᏧᏙᎢᏓ ᎠᏍᎦᏯ ᎤᏚᎵ ᏍᏓᏟᏃᎮᏗ.,Adawi judoida asgaya udul sdahlinohehdi.,A man named Adam wants to speak to you.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
59,ced,ᏣᎸᏉᏗᏍ ᏣᏓᏬᏍᏗ?,Jalvkwdis jadawosdi?,Do you like to swim?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
60,ced,ᎤᏪᏴ ᎠᏆᏓᏬᏍᏗ ᎤᎪᏗ ᎠᎩᎸᏉᏗ ᏏᏅ ᎠᏓᏬᏍᏗ ᎨᏒᎢ.,Uweyv agwadawosdi ugodi agilvkwdi sihnv adawosdi gesvi.,I like to swim in a creek more than in a swimming pool.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
61,ced,ᎭᏢ ᏣᎩᏎ Ꮎ ᎤᎵᏑᏫᏓ ᎠᏓᏴᎳᏛᏍᎩ?,Hadlv jagise na ulsuhwid adayvlatvsgi?,Where did you get the color television?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
62,ced,ᎢᏤ ᏗᎪᏪᎶᏗ ᎤᏕᎸ ᏗᏕᏠᏆᏍᎩ.,Ije digohwelodi udelv didehlohgwasgi.,He gave the student a new pencil.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
63,ced,ᎠᎯᏓᏍ ᎠᏕᎶᏆᏍᏗ ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ?,Ahidas adehlohgwasdi Jalagi gawonihisdi?,Is it easy to learn to speak Cherokee?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
64,ced,ᎤᏕᎰᎯᏍᏙᏗ ᎠᏁᏟᏗᎭ.,Udehohisdohdi anehldiha.,She's trying to embarrass him.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
65,ced,ᎠᎨᏳᏣ ᎤᎦᏔᏍᏓᏁᎳ ᎤᏕᎰᏒᎢ.,Agehyuja uktasdanela udehosvi.,"When the girl winked at him, he got embarrassed.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
66,ced,ᎯᏍᎩ ᎢᏳᏩᏂᎸ ᏥᎨᏒ ᎪᎯ ᏑᎾᎴ ᎤᏕᏅᎢ.,Hisgi iyuwahnilv jigesv kohi sunale udehnvi.,He was born at five o'clock this morning.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
67,ced,ᎠᏕᎳ ᎠᎨᏴᏗ ᎨᏒ ᏗᏓᎴᏂ ᎠᏍᎦᏂ.,Adela ageyhdi gesv didaleni asgahni.,The love of money is the root of evil.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
68,ced,ᏱᏣᏚᎳᏍ ᎠᏕᎵᏗᏗ ᏗᏣᎸᏫᏍᏓᏁᏗ?,Yijadulas adeldiyhdi dijalvhwisdanhdi?,Would you like to work in a bank?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
69,ced,ᎠᏕᎵᏧᏢ ᎤᏪᏅᏍᏗ ᎤᏚᎵᎭ.,Adeljuhlv uwenvsdi uduliha.,She wants to go to California.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
70,ced,ᎤᏕᎶᎰᏒ ᎠᏥᎶᏄᎡᏍᎬᎢ.,Udelohosv ajilonuesgvi.,He found out that he was being cheated.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
71,ced,ᎯᎠ ᎠᎵᏍᏇᏚᏬ ᏍᎪ ᎠᏕᎸ ᏧᎬᏩᏟᏗ.,Hia alsgwetuwo sgo adelv jugvwahldi.,The price of this hat is ten dollars.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
72,ced,ᎠᏆᏕᏘᏗ ᎠᎩᎸᏉᏗ ᏱᎦᏓᏬᎠ.,Agwadetdi agilvkwdi yigadawoa.,I like to dive when I'm swimming.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
73,ced,ᎠᏓᏁᎸ ᎦᏕᏲᎭ.,Adanelv gadeyoha.,I am circling a building.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
74,ced,ᎠᏯᏄᎵ ᎠᎯᎵᏒ ᎢᏳᏍᏗ ᏚᏅᏛ ᎠᏕᏲᎲᎢ.,Ayanuli ahilisv iyusdi dunvdv adeyohvi.,"Because he was driving fast, he missed the curve.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
75,ced,ᎠᎭᏂ ᏓᏥᏗ ᎯᎠ ᏑᏗ.,Ahani dajidi hia suhdi.,I am going to lay this fishing pole here.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
76,ced,ᏑᏓᎵ ᎢᏳᏩᏂᎸ ᏑᎾᎴ ᎦᏗᏗᏍᎪᎢ.,Sudali iyuwahnilv sunale gadidisgoi.,I rise at six a. m.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
77,ced,ᏗᎪᏪᎵ ᎦᏍᎩᎸ ᏚᏝᎥ ᏚᏗᎦᎴᏴ ᏗᎪᏪᎶᏓ ᎤᏯᎳ.,Digohwel gasgilv duhlav dudigaleyv digohwelod uhyala.,He scattered the papers on the table when he looked for his pencil.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
78,ced,ᎠᎿᏬ ᎤᎵᎬᎭᎷᏴ ᎤᏗᎦᎴᏲᏨ ᏍᏓᏯ ᎤᏃᎸᎾ.,Ahnawo uligvhaluhyv udigaleyojv sdaya unolvna.,Pieces of cloth scattered when the wind blew hard.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
79,ced,ᎠᏯᏄᎵ ᎠᏗᏆᎸᏕᏲᎭ ᎦᏉᏛ ᎠᎴᏫᏍᏙᏙᏗᎢ.,Ayanuli adigwalvdeyoha gagwtv alehwisdohdohdii.,The wheel is spinning too fast to stop.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
80,ced,ᎦᏙ ᎤᏍᏗ ᎠᏗᎭ?,Gado usdi adiha?,What is he saying?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
81,ced,ᏅᏃᎯ ᏕᏥᎾᏗᏫᏍᎬ ᎠᎴ ᏓᏆᎴᎳ ᎾᏆᏗᏅᏔᏅᎢ.,Nvnohi dejinadiwsgv ale dagwalela nagwadinvtanvi.,"Crossing the road, I was almost run over by a car.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
82,ced,ᏗᎾᏓᏂᏱᏍᎩ ᏚᎪᎭ ᏗᏓᎯᎯ ᎤᏗᏍᎦᎳᏅᎢ.,Dinadaniyisgi dugoha didahihi udisgahlanvi.,When the killer saw the police he hid.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
83,ced,ᎯᏗᏏᏯ ᎦᏍᎩᎶ. Ꮭ ᏳᏜᏅᏓ ᎦᎳᏗᏍᏗ ᏓᏆᎴᎷᎢ.,Hidisiya gasgilo. Hla yudlanvda galadisdi dagwalelui.,Leave the chair. There isn't room to put it in the car.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
84,ced,ᎦᏙ ᎤᏍᏗ ᎠᏗᏔᏍᏗ ᏣᏚᎵ?,Gado usdi aditasdi jaduli?,What kind of a drink do you want?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
85,ced,ᎨᎻᎵ ᏥᏈᏍᏗ ᎠᎹ ᎠᎾᏗᏔᏍᎪᎢ.,Kemili tsgwisdi ama anaditasgoi.,Camels drink a lot of water.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
86,ced,ᎠᏗᏙᏗ ᎬᏗ ᎠᏗᏔᏍᎦ ᎤᎦᎹ.,Aditohdi gvhdi aditasga ugama.,He's drinking soup with a spoon.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
87,ced,ᎠᏜ ᎠᎪᎲᏍᎬ ᏚᎦᏒᏍᏛ ᏥᎪᏩᏘᎭ.,Adla agohvsgv duksvsdv jigowhtiha.,I see smoke from burning rubber.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
88,ced,ᏙᏌ ᎤᏍᎦᎵᏨ ᎠᏜᎪᏍᎦ ᎠᏧᏣ.,Dosa usgahljv adlagosga achuja.,The boy is scratching where a mosquito bit him.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
89,ced,ᎦᏌᎴᏂ ᎠᏜᏩᏛ ᏕᎦᏝ ᎠᏕᎳ.,Gasaleni adlawadv degahla adela.,The money is in the coat pocket.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
90,ced,ᎭᏢ ᎢᏴ ᎤᏞᏎᎢ?,Hadlv iyv udlesei?,Where did he turn off?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
91,ced,ᎤᏞᏤᏗ ᎤᏚᎸᎲ ᎠᏎᏍᎩᏂ Ꮭ ᎥᏍᎩ ᏱᏄᏛᏁᎴᎢ.,Udlechehdi udulvhv asesgini hla vsgi yinudvnelei.,He wanted to take revenge against him but he didn't do it.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
92,ced,ᏞᏍᏗ ᎠᏞᎢᏍᏗ ᏱᏣᏲᎮᏍᏗ.,Hlesdi adleisdi yijahyohesdi.,Don't be looking for revenge.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
93,ced,ᎠᏞᏌᏙ ᎠᏞᏌᏛᎢᏍᎪ ᎠᏓᏍᏓᏴᏗ ᏱᏚᎸᏫᏍᏓᏁᎳ.,Adlesado adlesadvysgo adasdayhdi yidulvhwisdanela.,She puts on an apron when she works in the kitchen.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
94,ced,Ꮭ ᏱᏥᎪᏩᏔ ᎠᏞᏍᎬᎢ.,Hla yijigowahta adlesgvi.,I didn't see the turn-off.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
95,ced,"ᎦᏙ ᎤᏍᏗ ᎠᏟᎠ. ᎠᎹ, ᎤᏅᏗᎨ?","Gado usdi adlia. Ama, unvdike?",What is she pouring. Milk or water?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
96,ced,ᏧᏬᏚᎯ ᏗᏟᎠᏙ ᏚᏂᎭ ᎠᏂᏣᎳᎩ ᎤᏃᏢᏅᏅ ᎤᎾᏓᎾᏅᎢ ᏓᎵᏆ.,Juwoduhi didliado duniha Anijalagi Unohlvhnvnv Unadananvi Daligwa.,They have some pretty earrings at the Cherokee Arts and Crafts in Tahlequah.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
97,ced,"ᎦᏓᏬᏍᎬ, ᎠᎹ ᎤᏟᏨ ᏥᎴᏂ.","Gadawosgv, ama udlijv jileni.","While I was swimming, water filled my ear.",,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
98,ced,ᎠᎹ ᎠᏟᎭ ᏒᏙᏂᎢ.,Ama adliha svdonii.,He's drawing water from the barrel.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
99,ced,ᎦᏙ ᎤᏍᏗ ᎠᏟᏍᏗᎭ? ᎤᎸᏌᏗᏍ ᎫᎫᎨ?,Gado usdi adlisdiha? Ulvsadis guguke?,What is she pouring it into? A glass or a bottle?,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
100,ced,ᎯᏍᎩ ᎪᎢ ᏗᏗᎵᏍᏙᏗ ᏓᏆᏚᎵᎭ.,Hisgi goi didlisdohdi dagwaduliha.,I want five oil containers.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
101,ced,ᏞᏍᏗ ᏣᏠᏱᎸᎢ.,Hlesdi jadlohyilvi.,Don't cry.,,,,Dr. Durbin Feeling,,,,,,,,,,,,,,
